title,first_author,year,pdf_url
On the Transfer of Knowledge in Quantum Algorithms,Esther Villar-Rodriguez,2025,http://arxiv.org/pdf/2501.14120v1
Digital quantum simulation of bosonic systems and quantum complementarity,Victor P. Brasil,2025,http://arxiv.org/pdf/2502.01824v1
How to Design a Classically Difficult Random Quantum Circuit for Quantum Computational Advantage Experiments,He-Liang Huang,2025,http://arxiv.org/pdf/2501.16035v1
Analyzing the Evolution and Maintenance of Quantum Computing Repositories,Krishna Upadhyay,2025,http://arxiv.org/pdf/2501.06894v2
Improving Student Self-Efficacy in Quantum Computing with the Qubit Touchdown Board Game,Kristina Armbruster,2025,http://arxiv.org/pdf/2501.10449v1
Estimating quantum relative entropies on quantum computers,Yuchen Lu,2025,http://arxiv.org/pdf/2501.07292v1
Elucidating the Physical and Mathematical Properties of the Prouhet-Thue-Morse Sequence in Quantum Computing,Denis Janković,2025,http://arxiv.org/pdf/2501.09610v1
The Economics of an Open-Source Quantum Computer,Francesco Bova,2025,http://arxiv.org/pdf/2501.13315v1
Robot localization aided by quantum algorithms,Unai Antero,2025,http://arxiv.org/pdf/2502.00077v1
Toward Human-Quantum Computer Interaction: Interface Techniques for Usable Quantum Computing,Hyeok Kim,2025,http://arxiv.org/pdf/2502.00202v2
Certified Random Number Generation using Quantum Computers,Pingal Pratyush Nath,2025,http://arxiv.org/pdf/2502.02973v1
Research on quantum compilation of neutral atom quantum computing platform,Chongyuan Xu,2025,http://arxiv.org/pdf/2501.05266v1
Programming tools for Analogue Quantum Computing in the High-Performance Computing Context -- A Review,Mateusz Meller,2025,http://arxiv.org/pdf/2501.16943v1
W3ID: A Quantum Computing-Secure Digital Identity System Redefining Standards for Web3 and Digital Twins,Joseph Yun,2025,http://arxiv.org/pdf/2501.09802v1
Quantum-Assisted Space Logistics Mission Planning,Amiratabak Bahengam,2025,http://arxiv.org/pdf/2501.05046v1
Pre-stack and post-stack seismic inversion using quantum computing,Divakar Vashisth,2025,http://arxiv.org/pdf/2502.03808v1
QSteed: Quantum Software of Compilation for Supporting Real Quantum Device,Hong-Ze Xu,2025,http://arxiv.org/pdf/2501.06993v1
Chemically-Accurate Prediction of the Ionisation Potential of Helium Using a Quantum Processor,Manolo C. Per,2025,http://arxiv.org/pdf/2502.02023v1
Harnessing CUDA-Q's MPS for Tensor Network Simulations of Large-Scale Quantum Circuits,Gabin Schieffer,2025,http://arxiv.org/pdf/2501.15939v1
Quantum computational advantage of noisy boson sampling with partially distinguishable photons,Byeongseon Go,2025,http://arxiv.org/pdf/2501.13433v1
Quantum Computing Enhanced Sensing,Richard R. Allen,2025,http://arxiv.org/pdf/2501.07625v1
Masking Countermeasures Against Side-Channel Attacks on Quantum Computers,Jason T. LeGrow,2025,http://arxiv.org/pdf/2501.07695v1
Symmetric quantum computation,Davi Castro-Silva,2025,http://arxiv.org/pdf/2501.01214v1
Left-Deep Join Order Selection with Higher-Order Unconstrained Binary Optimization on Quantum Computers,Valter Uotila,2025,http://arxiv.org/pdf/2502.00362v1
Quantum Measurement for Quantum Chemistry on a Quantum Computer,Smik Patel,2025,http://arxiv.org/pdf/2501.14968v1
The Qudit Cirq Library: An Extension of Google's Cirq Library for Qudits,Svyatoslav Kushnarev,2025,http://arxiv.org/pdf/2501.07812v2
Implementing Finite Impulse Response Filters on Quantum Computers,Aishwarya Majumdar,2025,http://arxiv.org/pdf/2501.10166v1
Adaptive Genetic Algorithms for Pulse-Level Quantum Error Mitigation,William Aguilar-Calvo,2025,http://arxiv.org/pdf/2501.14007v1
Blockchain Security Risk Assessment in Quantum Era, Migration Strategies and Proactive Defense,Yaser Baseri,2025,http://arxiv.org/pdf/2501.11798v1
Implementation of phase gates using single photons,V. Hizhnyakov,2025,http://arxiv.org/pdf/2501.05230v1
Quantum Advantage in Trading: A Game-Theoretic Approach,Faisal Shah Khan,2025,http://arxiv.org/pdf/2501.17189v1
Estimating the Power of a Quantum Computer,Brandon Rodenburg,2025,http://arxiv.org/pdf/2502.00113v1
Randomized Benchmarking with Leakage Errors,Yi-Hsiang Chen,2025,http://arxiv.org/pdf/2502.00154v1
Quantum Algorithms for Optimal Power Flow,Sajad Fathi Hafshejani,2024,http://arxiv.org/pdf/2412.06177v1
Resource Estimation of Quantum Multiplication Algorithms,Ethan R. Hansen,2024,http://arxiv.org/pdf/2402.01891v1
Fault-tolerant structures for measurement-based quantum computation on a network,Yves van Montfort,2024,http://arxiv.org/pdf/2402.19323v1
Five Starter Problems: Solving Quadratic Unconstrained Binary Optimization Models on Quantum Computers,Arul Mazumder,2024,http://arxiv.org/pdf/2401.08989v2
Post-Quantum Cryptography for Internet of Things: A Survey on Performance and Optimization,Tao Liu,2024,http://arxiv.org/pdf/2401.17538v1
A unifying primary framework for quantum graph neural networks from quantum graph states,Ammar Daskin,2024,http://arxiv.org/pdf/2402.13001v2
A Novel Quantum Algorithm for Ant Colony Optimization,Qian Qiu,2024,http://arxiv.org/pdf/2403.00367v1
Piquasso: A Photonic Quantum Computer Simulation Software Platform,Zoltán Kolarovszki,2024,http://arxiv.org/pdf/2403.04006v2
Variance Minimisation of the Lipkin-Meshkov-Glick Model on a Quantum Computer,Isaac Hobday,2024,http://arxiv.org/pdf/2403.08625v1
Analysis of optical loss thresholds in the fusion-based quantum computing architecture,Aleksandr Melkozerov,2024,http://arxiv.org/pdf/2403.14811v2
Using quantum computers in control: interval matrix properties,Jan Schneider,2024,http://arxiv.org/pdf/2403.17711v1
Applying Quantum Computing to Solve Multicommodity Network Flow Problem,Niu Chence,2024,http://arxiv.org/pdf/2402.04758v1
Quantum Data Management: From Theory to Opportunities,Rihan Hai,2024,http://arxiv.org/pdf/2403.02856v1
On the Need for Extensible Quantum Compilers with Verification,Tyler LeBlond,2024,http://arxiv.org/pdf/2403.02091v1
Tailoring Fault-Tolerance to Quantum Algorithms,Zhuangzhuang Chen,2024,http://arxiv.org/pdf/2404.11953v1
Simulation of Quantum Computers: Review and Acceleration Opportunities,Alessio Cicero,2024,http://arxiv.org/pdf/2410.12660v1
Impact of Decoherence on Average Correlation,A. M. Silva,2024,http://arxiv.org/pdf/2403.10551v1
BACQ -- Application-oriented Benchmarks for Quantum Computing,Frédéric Barbaresco,2024,http://arxiv.org/pdf/2403.12205v1
Using quantum computers to identify prime numbers via entanglement dynamics,Victor F. dos Santos,2024,http://arxiv.org/pdf/2403.14703v3
Exposing the hidden layers and interplay in the quantum software stack,Vlad Stirbu,2024,http://arxiv.org/pdf/2403.16545v1
Molecular groundstate determination via short pulses on superconducting qubits,Noga Entin,2024,http://arxiv.org/pdf/2403.17789v1
Non-Gaussian state teleportation with a nonlinear feedforward,Vojtěch Kala,2024,http://arxiv.org/pdf/2404.06438v2
Model-based Offline Quantum Reinforcement Learning,Simon Eisenmann,2024,http://arxiv.org/pdf/2404.10017v1
Conversion of Boolean and Integer FlatZinc Builtins to Quadratic or Linear Integer Problems,Armin Wolf,2024,http://arxiv.org/pdf/2404.12797v1
Ab initio extended Hubbard model of short polyenes for efficient quantum computing,Yuichiro Yoshida,2024,http://arxiv.org/pdf/2404.01623v1
The Security Performance Analysis of Blockchain System Based on Post-Quantum Cryptography -- A Case Study of Cryptocurrency Exchanges,Abel C. H. Chen,2024,http://arxiv.org/pdf/2404.16837v1
Quantum Circuit Optimisation and MBQC Scheduling with a Pauli Tracking Library,Jannis Ruh,2024,http://arxiv.org/pdf/2405.03970v2
Visual Analytics of Performance of Quantum Computing Systems and Circuit Optimization,Junghoon Chae,2024,http://arxiv.org/pdf/2409.06159v1
Qiskit Code Assistant: Training LLMs for generating Quantum Computing Code,Nicolas Dupuis,2024,http://arxiv.org/pdf/2405.19495v1
The Noiseless Quantum Computer Does Not Exist,Valentin Vankov Iliev,2024,http://arxiv.org/pdf/2406.12924v2
Combinatorial Optimization with Quantum Computers,Francisco Chicano,2024,http://arxiv.org/pdf/2412.15778v1
End-to-end switchless architecture for fault-tolerant photonic quantum computing,Paul Renault,2024,http://arxiv.org/pdf/2412.12680v2
Quantum Machine Learning: An Interplay Between Quantum Computing and Machine Learning,Jun Qi,2024,http://arxiv.org/pdf/2411.09403v1
Quantum Cosmology on Quantum Computer,Chih-Chien Erich Wang,2024,http://arxiv.org/pdf/2410.22485v1
Quantum Kolmogorov-Arnold networks by combining quantum signal processing circuits,Ammar Daskin,2024,http://arxiv.org/pdf/2410.04218v1
QUBO Formulations for Variation of Domination Problem,Haoqian Pan,2024,http://arxiv.org/pdf/2410.21277v2
Simulation of the 1d XY model on a quantum computer,Marc Farreras,2024,http://arxiv.org/pdf/2410.21143v1
Enhanced Fault-tolerance in Photonic Quantum Computing: Floquet Code Outperforms Surface Code in Tailored Architecture,Paul Hilaire,2024,http://arxiv.org/pdf/2410.07065v1
On the role of coherence for quantum computational advantage,Hugo Thomas,2024,http://arxiv.org/pdf/2410.07024v1
Representation of Classical Data on Quantum Computers,Thomas Lang,2024,http://arxiv.org/pdf/2410.00742v3
Information processing at the speed of light,M. AbuGhanem,2024,http://arxiv.org/pdf/2410.00442v1
Interaction Techniques for User-friendly Interfaces for Gate-based Quantum Computing,Hyeok Kim,2024,http://arxiv.org/pdf/2409.16475v1
Hardware-Efficient Fault Tolerant Quantum Computing with Bosonic Grid States in Superconducting Circuits,Marc-Antoine Lemonde,2024,http://arxiv.org/pdf/2409.05813v1
Quantum Computation Using Large Spin Qudits,Sivaprasad Omanakuttan,2024,http://arxiv.org/pdf/2405.07885v1
Distributed Quantum Computation via Entanglement Forging and Teleportation,Tian-Ren Jin,2024,http://arxiv.org/pdf/2409.02509v1
